number,domain,classification
803,www.winmasters.com,illegal
804,betbuckeyesports.com,illegal
805,www.betmyline.com,illegal
806,www.blackdiamond4u.com,illegal
807,www.spartansslots.net,illegal
808,heritagesports.eu,illegal
809,betrivers.com,illegal
810,www.playfrank.com,illegal
811,www.youwager.eu,illegal
812,www.betdon.com,illegal
813,www.bet3000.com,illegal
814,planetofbets.com,illegal
815,www.ikibu.com,illegal
816,nationale-loterij.be,illegal
817,seangraham.com,illegal
818,codeta.com,illegal
819,m8bet.net,illegal
820,www.casinotown.se,illegal
821,www.hippobingo.com,illegal
822,www.ehorse.com,illegal
823,www.slotsmillion.com,illegal
824,lasatlantispromos.com,illegal
825,www.betgoto.com,illegal
826,www.nostrabet.com,illegal
827,www.worldofsport.co.za,illegal
828,www.heyspin.com,illegal
829,www.linesmaker.eu,illegal
830,bitsaloon.com,illegal
831,toto.bg,illegal
832,www.casinolasvegas.com,illegal
833,ovocasino.com,illegal
834,nightrush.com,illegal
835,usbetting.co.za,illegal
836,www.americanfootballbetting.com,illegal
837,www.bigcitysportsbook.com,illegal
838,sbgglobal.eu,illegal
839,dhoze.com,illegal
840,www.mpcasino.com,illegal
841,spinzilla.com,illegal
842,www.sportsbetting.ag,illegal
843,www.csgospeed.com,illegal
844,www.sportsbook.com,illegal
845,rb88.com,illegal
846,betmgm.com,illegal
847,justforbettors.com,illegal
848,betonline.ag,illegal
849,www.playbet.com,illegal
850,luckland.com,illegal
851,www.mylotto.co.nz,illegal
852,www.winner.co.uk,illegal
853,lotto.mthai.com,illegal
854,skinhell.com,illegal
855,lotto-centrum.com,illegal
856,youwager.eu,illegal
857,lightbet.com,illegal
858,www.cheekywin.com,illegal
859,www.luckymeslots.com,illegal
860,purepoker.eu,illegal
861,btcsportsbet.com,illegal
862,lottomax.ca,illegal
863,www.doxxbet.com,illegal
864,betfreesports.com,illegal
865,sportsbook.caesars.com,illegal
901,www.arena-bet.com,illegal
902,redmilebets.com,illegal
903,www.spinson.com,illegal
904,norgesspill.com,illegal
905,www.180bets.com,illegal
906,www.gotosportsbook.com,illegal
907,orlandocasino.com,illegal
908,www.mpl.us,illegal
909,www.csgoshuffle.com,illegal
910,www.coral.co.uk,illegal
911,www.lippybingo.com,illegal
912,www.777.com,illegal
913,www.box24games.com,illegal
914,www.mrwin.com,illegal
915,www.nairastake.com,illegal
916,sverigeautomaten.com,illegal
917,www.noxwin.com,illegal
918,www.skytowersportsbook.com,illegal
919,lotto-berlin.de,illegal
920,www.sveacasino.se,illegal
921,www.monacoaces.com,illegal
922,www.orakulas.lt,illegal
923,dakotacasino.com,illegal
924,bethard.com,illegal
925,www.olgslotsandcasinos.ca,illegal
926,start.duelz.com,illegal
927,www.24bettle.com,illegal
928,lionbet.com,illegal
929,olybet.com,illegal
930,www.topbet.eu,illegal
931,www.betfred.com,illegal
932,www.lapalingo.com,illegal
933,daisybingo.com,illegal
934,esportsbetting.com,illegal
935,www.mobilebet.com,illegal
936,carbonsports.ag,illegal
937,www.intercasino.com,illegal
938,www.opap.gr,illegal
939,www.fun88.co.uk,illegal
940,lookbingo.com,illegal
941,macaubet.com,illegal
942,www.primedice.com,illegal
943,www.unibet.co.uk,illegal
944,myfab11.com,illegal
945,www.needforbet.com,illegal
946,www.win29.com,illegal
947,www.loto.mk,illegal
948,netbet.com,illegal
949,www.mrslot.com,illegal
950,vierklee.com,illegal
951,www.lookbingo.com,illegal
952,fruitycasa.com,illegal
953,www.cupcakebingo.co.uk,illegal
954,win29.com,illegal
955,www.mrmega.com,illegal
956,www.guru11.com,illegal
957,www.casinoheroes.com,illegal
958,www.ridika.com,illegal
959,justbet.co.za,illegal
1001,liga365.com,illegal
1002,www.saharabet.com,illegal
1003,betsbi.com,illegal
1004,1xbet.com,illegal
1005,www.tortugacasino.com,illegal
1006,www.docbet.com,illegal
1007,zodiacu.com,illegal
1008,csgo-jackpots.com,illegal
1009,betdna.com,illegal
1010,www.lotoquebec.com,illegal
1011,inbet88.com,illegal
1012,needforbet.com,illegal
1013,www.videoslots.com,illegal
1014,loteria.com.ec,illegal
1015,www.betjambo.com,illegal
1016,www.mummysgold.com,illegal
1017,betpack.com,illegal
1018,yobetit.com,illegal
1019,gambling.com,illegal
1020,www.skinhell.com,illegal
1021,sectorbet.com,illegal
1022,www.betinternet.com,illegal
1023,www.blackjackballroom.eu,illegal
1024,www.bettor.com,illegal
1025,www.parxcasino.com,illegal
1026,lsbet.com,illegal
1027,www.kaiserslots.com,illegal
1028,triobet.com,illegal
1029,www.matchbook.com,illegal
1030,www.circlebet.com,illegal
1031,betredkings.com,illegal
1032,maxitip.cz,illegal
1033,miamidice.com,illegal
1034,www.betmonarch.com,illegal
1035,csgobooth.com,illegal
1036,vandersports.com,illegal
1037,www.lionbet.com,illegal
1038,www.cshub.net,illegal
1039,betcostarica.ag,illegal
1040,pikakasino.com,illegal
1041,betdsi.eu,illegal
1042,www.royalpanda.com,illegal
1043,www.justbet.co,illegal
1044,de.888casino.com,illegal
1045,lumibet.com,illegal
1046,www.seangraham.com,illegal
1047,cshub.net,illegal
1048,www.fullbetter.com,illegal
1049,bestecasino.com,illegal
1050,leisure888.com,illegal
1051,livebetting.com,illegal
1052,betcatalinasports.com,illegal
1053,easytowager.com,illegal
1054,betmyline.com,illegal
1055,www.hanplayer.com,illegal
1056,csgojackpot.com,illegal
1057,ikibu.com,illegal
1058,csgoreaper.com,illegal
1059,nationallottery.co.za,illegal
1060,cafecasino.lv,illegal
1061,superusacasino.com,illegal
1101,jammyduck.com,illegal
1102,www.spinzilla.com,illegal
1103,supabets.com.gh,illegal
1104,csgoparty.com,illegal
1105,www.thelotter.com,illegal
1106,www.forsportspicks.com,illegal
1107,www.hughesbet.com,illegal
1108,www.nyspins.com,illegal
1109,betepic.com,illegal
1110,www.stakers.com,illegal
1111,www.legolas.bet,illegal
1112,www.olimp.com,illegal
1113,www.samvo.com,illegal
1114,totobet.com,illegal
1115,wilsonbet.com,illegal
1116,www.bookmaker.eu,illegal
1117,www.instantactionsports.com,illegal
1118,www.mozzartbet.com,illegal
1119,www.frankfred.com,illegal
1120,loto.mk,illegal
1121,www.betsocial.net,illegal
1122,www.jeet11.com,illegal
1123,www.hrwager.ag,illegal
1124,www.mybcasino.ag,illegal
1125,www.ohiocasino.com,illegal
1126,coastalsportsbook.com,illegal
1127,www.pokermax.com,illegal
1128,fancode.com,illegal
1129,777.com,illegal
1130,betstars.com,illegal
1131,diamond7casino.com,illegal
1132,lottoland.eu,illegal
1133,www.playnow.com,illegal
1134,gate777.com,illegal
1135,betquick.com,illegal
1136,nstra.pro,illegal
1137,www.sssbet.com,illegal
1138,www.ahacasino.com,illegal
1139,www.cc898.com,illegal
